service_id,date,exception_type
1,20231210,1
1,20231216,1
1,20231217,1
10,20231211,1
10,20231212,1
10,20231213,1
10,20231214,1
10,20231215,1
11,20231218,1
11,20231219,1
11,20231220,1
11,20231221,1
12,20231216,1
12,20231217,1
13,20231211,1
14,20231212,1
14,20231213,1
14,20231214,1
14,20231215,1
14,20231218,1
14,20231219,1
14,20231220,1
14,20231221,1
2,20231211,1
2,20231212,1
2,20231213,1
2,20231214,1
2,20231215,1
2,20231218,1
2,20231219,1
2,20231220,1
2,20231221,1
3,20231211,1
3,20231212,1
3,20231213,1
3,20231214,1
3,20231218,1
3,20231219,1
3,20231220,1
3,20231221,1
4,20231215,1
5,20231212,1
5,20231213,1
5,20231214,1
5,20231215,1
5,20231216,1
5,20231219,1
5,20231220,1
5,20231221,1
5,20231222,1
6,20231210,1
6,20231211,1
6,20231217,1
6,20231218,1
7,20231216,1
8,20231210,1
8,20231217,1
9,20231210,1
